Unnamed: 0,situation,emotion
7414,I remember the good old days when people had face to face interactions,nostalgic
7415,I was really shocked when my parents bought me a car for my graduation present,surprised
7416,i hate when my friend speeds down the interstate for no reason whatsoever,afraid
7417,I feel bad for those who cant afford the necessities in life.,caring
7418,I am killing it a work. I am going to be promoted in no time,confident
7419,I ordered $50 worth of food to be delivered and it was all wrong when the guy delivered it! ,annoyed
7420,I get depressed when I run out of dr pepper. It is my coffee,sad
7421,I am really hype for the upcoming super smash bros game in december,excited
7422,I poured way to much vodka in my drink last night. I gagged u front of everyone.,embarrassed
7423,I was hurt when my grandmother passed away a few years ago,sad
7424,"Robin williams was my hero, still so sad he passed",sad
7425,My noyfriend made us breakfast for the first time. It was terrible. He ruined my food,disgusted
7426,"i trust my wife a lot, i believe a good woman is so hard to find",trusting
7427,I am so happy my boyfriend and I got back together. We are going to get married. I just know it,grateful
7428,"I got asked to go on a cruise but, I'm not sure if I should.",apprehensive
7429,I ate McDonalds in the car the other day because I didn't buy my kids any,guilty
7430,So I have this neighbor who lives down the street who walks her dog without a leash. It is so annoying and its some kind of pit mix dog and it scares me that she has him off leash. I also found poop in my yard and I'm prestty sure it was from that dog! ugh!,disgusted
7431,I was shocked to walk upon a snake a few days ago in my yard.,surprised
7432,I keep my kids on all my screensavers. They motivate me,sentimental
7433,I remember eating at my ex's moms for the first time. Everything was awful. I couldnt swallow it,disgusted
7434,i just hate when people drive slow in the left lane,angry
7435,"so happy i can have a nice sofa now, i had the oldest sofa for years",grateful
7436,I never really watch romantic movies but the life as we know it really surprised me,surprised
7437,"There was this lady who wrote in our local facebook group for my community, saying that she was on her last 3 diapers until Friday. We all pitched in and got her several boxes of diapers!",caring
7438,There was a mouse in my kitchen once. I am still afraid when I go in there,terrified
7439,"When I first started working out at the gym, I dropped a weight on my foot. It was so embarrassing.",embarrassed
7440,My daughter failed an exam and tried to hide it from me. I am so upset,disappointed
7441,I am very happy with my girlfriend.Having her move in has been great.,content
7442,I am beyond mad!  My neighbor was mowing his lawn and my car got scratched from rocks kicked out by the mower!,furious
7443,I never stick to my diet. I am such a failure,ashamed
7444,I spilled some generic baby soap all over the carpet the other day and had to leave it for about an hour while I tended to a more urgent matter. I came back and it had bleached the carpet!!!,surprised
7445,Another one of my friends got engaged. What about me?,jealous
7446,Last night i woke up in the middle of the night and i couldn't move,terrified
7447,My best friend is moving away. We have lived close to each other for 10 years,sad
7448,I had to work late yesterday.,angry
7449,I'm working on being happier on a day to day basis.,joyful
7450,I'm so glad it finally cooled down outside,grateful
7451,There is always a fight when my family gets together. We aren't even having a big thanksgiving this year,devastated
7452,"My niece made the cheerleading squad. It made me so happy to be her aunt, and so happy for her.",proud
7453,I'm feeling good about how I've handled a lot of stress lately.,proud
7454,"A close family member fell ill after being laid off from her job. I hated to see the difficulty she had supporting herself and trying to pay medical bills, so I had to help.",caring
7455,I arrived at work only to be told they had changed the schedule and I wasn't on it anymore.  I wasn't notified beforehand.,angry
7456,ON the first day of Highschool I walked in with a huge smile on my face,excited
7457,I felt ashamed when I stole a candy bar from the store,guilty
7458,"so sad robin williams has passed away, i miss him",sad
7459,For a big meeting I practices hours and hours to get everything ready,prepared
7460,A friend was telling me about a good local barbecue place a while ago so I decided to stop by. I thoroughly enjoyed the selection of food and sauces.,content
7461,"There were 3 HUGE spiders in my house yesterday! I had to kill the first one, and then my husband killed the second and then when he was spraying (because I made him) he found a third!",afraid
7462,"i have a beautiful home, might not be the biggest on the block but i'm happy with it",content
7463,I have always been appreciative of my parents for paying for my colleger,grateful
7464,"I've been quite upset with my daughter's school as they've really let her down. To make a long story short. Since she's now the only surviving 8th grade strings student (violin), they've lumped her in with the regular band this year rather than let her play with the 7th grade strings class.",furious
7465,I broke my coffee maker and now i can't make coffee,angry
7466,I was underprepared for a job interview and I actually got the job still,surprised
7467,I caught my boyfriend messaging another girl. I was upset.,jealous
7468,"i have a huge bachelor party coming up, feeling nerouvs",anxious
7469,I walked into the office Friday to a birthday celebration for myself.  My birthday wasnt until Sunday.,surprised
7470,"So I'm trying to participate in a bodybuilding contest, i think i can win",confident
7471,"One day I went to make a sandwich, mold was covering the entire loaf of bread",disgusted
7472,I am patiently waiting to hear back from a recent job interview,hopeful
7473,"Harvey weinstein was such a good studio , they just ruined their business and now there arent any good movies",sad
7474,I wish I could afford all the nice things others have around me,jealous
7475,I'm looking forward to next year when my finances will be so much better.,hopeful
7476,A co-worker got a promotion over me,jealous
7477,I was having some relationship trouble. My friend stuck around and talked with me to make me feel better.,grateful
7478, it is always discouraging that you dont get what you deserve.. am i right,jealous
7479,I'm really ashamed that i've gotten so far behind on my bills.,embarrassed
7480,"i hate my cats pee on the carpet, the smell is so hard to remove",disappointed
7481,I lied to my wife,ashamed
7482,I have a big interview scheduled for Friday. I am scared that I will not do well.,anxious
7483,I am feeling bad today. I stole some money from a missing wallet.,guilty
7484,I keep a picture of my late great grandmother with me at all times,sentimental
7485,I was waiting to see if I had won the contest!,anticipating
7486,I'm terrified that I'm too late with something important.,afraid
7487,My kids recently broke a very important item of mine and it made me so angry.,furious
7488,I had been working lots over the past weeks but was finally able to go on a vacation to the Caribbean and get some relief from stress.,excited
7489,I knew I put up the best score during the bowling contest,confident
7490,I've been proud of the amount of work that I've done this year.,impressed
7491,I am very positive about the democrats in November,hopeful
7492,I accidentally sent a text about my friend to that friend instead of my cousin who I meant to send it to! It wasn't mean but it wasn't necessarily nice either. I feel bad.  ,guilty
7493,I wanted a new dress. But my best friend bought the dress for herself.,jealous
7494,I felt a bit taken back to actually move out of my parents house,apprehensive
7495,I have been studying all week long. I have my test coming up soon.,prepared
7496,It was unexpected for me to have such a good time at the county fair last night.,surprised
7497,My brother has always wowed me with his ability to play baseball,impressed
7498,When my best friend passed away I was devasted,sad
7499,I have always been considerate of my relationship with my wife,faithful
7500,Someone keyed my truck in a restaraunt parking lot last night,furious
7501,I found out my group of friends went to the beach last weekend and did not invite me for some reason. I don't really know why though?,angry
7502,My son took his first steps when he was nine months old.  He was so wobbly and cute.,proud
7503,I remember when me and my brother used to play video games together,nostalgic
7504,I always reminisce about my childhood. We would always have a great time with friends.,nostalgic
7505,I've been upset at how hard I have to work for a living.,angry
7506,"I used to take gymnastics lessons, where the instructor would spot or make sure that we didn't fall when we tried to do new tricks. Thank god they were there because I wouldnt be alive from hitting my head when falling!",trusting
7507,I am scared of Trump.,apprehensive
7508,I'm aggravated that I don't earn more.,annoyed
7509,My little boy is starting Kindergarten in a few days,sad
7510,My neighbor lets his dog bark all night long and go to the bathroom in my yard.  I think it is inconsiderate of him.,annoyed
7511,My best friend came over and cleaned my entire house while I was sick with the flu. She is the best!,grateful
7512,I have been working hard at my job. There is a promotion that I want to get!,faithful
7513,Traffic was unusually bad on the way to work this morning.,annoyed
7514,Somebody called me fat the other day,angry
7515,I finally started losing weight after working out and I was hopeful I would continue to slim down,hopeful
7516,I've always tried to have faith in my family.,trusting
7517,I start a new job tomorrrow. I'm a little nervous.,anxious
7518,My boyfriend kept me up all night playing video games. ,annoyed
7519,I had a big final exam that I studied really hard for. I passed with an A and finished with a 4.0 for the semester. I couldnt be happier.,proud
7520,I am waiting on my friend to come over. They are bringing me a medicine for my pet.,trusting
7521,I'm looking forward to things getting better for me next year.,hopeful
7522,"I was sitting on my couch the other day, when my two year old came out of nowhere, and threw my phone at my head.  It hurt really bad.",angry
7523,I walked home one night. I caught my wife sleeping with my best friend,furious
7524,I got a $20 gift card from the place I work at today.,surprised
7525,Today is the day for me to receive my paycheck. I am very excited!,joyful
7526,"My cat won't leave me alone. I can't figure out what he wants, but he's so clingy",annoyed
7527,My childhood cat died while I was away at college.  He was 15 years old.,sad
7528,I spilled my drink all over the table and myself TWICE at a restaurant. ,embarrassed
7529,My boss passed me over for promotion and instead went with my coworker. All he does is take credit for other people's work so he doesn't deserve it,furious
7530,I have a bunch of food in front of me and not even hungry anymore.,content
7531,I can't wait to be reunited with my familly,anxious
7532,when i took care of my brother when he broke his leg ,caring
7533,I'm very happy about my daughters' talents. They are both musicians.,proud
7534,I am more than ready for my vacation to Europe.,prepared
7535,I unexpectedly ran into a snake while walking in my yard a few days ago.,surprised
7536,On Halloween I was nervous to go out at night. I was scared people were going to kidnap me,afraid
7537,I was so happy for my son when he won the tennis state championship. He worked so hard,proud
7538,When my sister kept winning at the game. ,jealous
7539,"All my friends got to go on vacation, but I'm stuck here doing work because I have a tight job deadline. It really gets me down",lonely
7540,I walked to school one day. When I walked in I had two different shoes on,embarrassed
7541,"My cable guy was supposed to show up yesterday to fix my cable.  He did not show up, and did not even bother to call",furious
7542,I was sad when I didnt earn the promotion. I thought I was the more qualified candidate,disappointed
7543,One time I wanted some ice cream very bad. By the time I got to the ice cream store they were already closed so I didn't get any ice cream.,sad
7544,"When I got to my job, I was fired without cause. I was so angry and couldnt contain myself",furious
7545,"I was watching my son the other day and I'll watch him for two days at a time.  I realized in the second day that I really don't talk to anyone else other than him during the day, and needed to get out more.",lonely
7546,I was anticipating the first day of school for a few days. It was going to be the first day in High school,excited
7547,I've always been loyal to my wife and children.,faithful
7548,I saw a cochroach in my living room last night.,disgusted
7549,I was terrified to walk home from the bar one night. There were gunshots nearby,afraid
7550,When my car caught on fire while driving ,afraid
7551,I got first place in the karaoke contest. I didn't think I would win but I did.,proud
7552,"My brother recently confessed that one time, when we were kids, he spit in my orange juice.  Apparently he was mad at me for some reason.  He kept the secret for over 15 years.",disgusted
7553,I was pleased with the quality of our county fair I went to last night.,impressed
7554,My storage unit burned down and I lost several precious momentos,devastated
7555,I am so relieved that president Trump won the election.,grateful
7556,I'm glad it's almost fall now. My favorite time of year.,hopeful
7557,When my friend got into a car accident,terrified
7558,My cousin won $5000,jealous
7559,My coworkers got together and got me flowers when my mother passed away. I am lucky to have such caring people around me.,grateful
7560,i came across my old baby blanket,sentimental
7561,I feel so bad about myself,guilty
7562,I recently applied for a new position at a higher paying company and they called me for an interview! I am really wishing to get hired there!,hopeful
7563,I am getting ready for an upcoming economy crisis in the USA ,anticipating
7564,My wife decided to quit her job in order to go after a more lucrative and fulfilling one.  It would just take time to start earning some money.,hopeful
7565,I always feel like thinking of the old days when I drive my old truck.,nostalgic
7566,I found $10 on the ground.  It was at a time I particularly needed it.,grateful
7567,I was doing a fishing trip. I caught a huge fish!,surprised
7568,that the neighbor lets her cats use the bathroom outside my window ,disgusted
7569,"Last week I was walking to the convenience store with my wife. We ended up not going inside because there were cop cars all around. When we asked a police officer what was happening, he said there was a shooting.",terrified
7570,when we were struggling financially our church gave us some food and 50$. ,grateful
7571,I live in a town that has several major highways. The other day I passed an awful accident where a car was mutilated beyond recognition and it was do to the carelessness of someone speeding onto the on ramp of the highway and not watching the traffic coming as they entered it. It made me angry.,furious
7572,My friend bragged about being good at FIFA. I beat him after playing against each other,proud
7573,I wanted to hold out and see if I got a bonus. The bonus would allow me and my family to take a vacation,hopeful
7574,I've been a bit uneasy lately and I'm not sure why.,anxious
7575,I was praying to god to help out our family. I wanted my son to get better,faithful
7576,Still waiting on the insurance company to give me approval to get my estimate.  My car was backed into over two weeks ago.,annoyed
7577,I told a secret to my friend. I wanted him to keep it,trusting
7578,I researched for weeks for my paper. With that much work I was ready for anything,prepared
7579,I found out that the vacation I planned for had to be cancelled. My friend got sick and is not able to go with me.,disappointed
7580,I failed my driving test today. It was my second time trying,sad
7581,I broke my new phone yesterday. I was very upset.,sad
7582,I ma just waiting for my next vacations,apprehensive
7583,I recently started dating this girl but Ive already seen some red flags. Not sure if I should continue seeing her or not.,apprehensive
7584,"I have a big test coming up. If I don't pass, it is going to really affect me negatively.",anticipating
7585,I am happy to have an old friend that understands me.,grateful
7586,I have been with my husband 7 years and have always been faithful.,faithful
7587,I am very satisfied with the way things are at work,content
7588,when lightening hit my house ,furious
7589,I've been living in a state of being self conscious about myself for years.,embarrassed
7590,Last week a couple days after getting groceries I was looking for my childs other shoe in the car. It was then that I discovered a carton of eggs that my fiance forgot to get out of the car with the rest of the groceries!!! I was soo grossed out. ,disgusted
7591,I was outside walking one day. And then I found a kitten on the road.,caring
7592,I'm a little uneasy about making it through the last half of this year.,apprehensive
7593,Some person cut me off in traffic yesterday and almost caused me to wreck. I can't stand people who can't drive!,angry
7594,"I was working on a boat, and I had to hope that my friend didn't screw something up while I had my hands in the engine.",trusting
7595,I was driving along today and crashed my car. The person pulled right out in front of me!,angry
7596,I am going to do scuba lessons in a couple weeks.  For some reason I am really nervous about it.,apprehensive
7597,"The other day I was watching a talk show and they started talking about how if you eat a big meal like dinner after 4 hours prior to going to bed, that it results in more rapid weight gain and hinders weight loss! I had never heard that before!",surprised
7598,My friend was telling me how she recently bought tickets to a festival at a discount and she offered me to purchase a ticket from her if I'm interested. It would be my first festival.,excited
7599,The friend of mine is visiting. They are needing me to help them through a tough time.,caring
7600,"I went into a test at work the other day.  I knew that I had been training for it for a while, and felt good about my abilites going into it.",confident
7601,I rode a roller coaster at the fair for the first time the other day. I have never been so afraid.,terrified
7602,I am receiving notifications from a friend. They are saying that I am owing them money.,apprehensive
7603,I am looking forward to my work vacation. I will take my wife to the mountains!,joyful
7604,when i lost my temper with my dad ,ashamed
7605,Its a beautiful day outside today.  Problem is that I have no one to share it with. ,lonely
7606,My son's Vice Principal called me to say that he had pushed another kid and used inappropriate words in the lunch room.,ashamed
7607,I was hoping to get a raise at work. But instead my arch enemy got the raise!,jealous
7608,when my daughter was born ,afraid
7609,I was recently looking through an old photo album and it made me feel strange. It made me miss the past.,nostalgic
7610,I am very upset today. The work raise that I been working on was taken away from me. By my arch enemy worker colleague!,disappointed
7611,with life in general right now ,content
7612,I am excited about my work this week. It is promotion time and I am going to be promoted!,anticipating
7613,when my family went on a cruise without me ,lonely
7614,"A couple years ago where I live we had Hurricane Matthew aiming directly towards us. I was so worried, I was glued to the TV until we lost power, then to the radio!",anxious
7615,We went to our county fair last night and it was very old fashioned.,nostalgic
7616,I was riding my bike the other day and passed an armidillo on the side of the road.  There were flies and guts everywhere.,disgusted
7617,my new purse purchase! ,anticipating
7618,The river boat that I just purchased it great. I was told it is one of the best!,trusting
7619,My friend moved far away and I have really been missing her. My boyfriend flew her here for my birthday without telling me. I was not expecting that at all!,surprised
7620,I'm happy that I can take care of my family's needs better than I used to.,content
7621,I just bought a new boat. The seller told me all about it. It is the best boat in the state!,excited
7622,Yesterday I was unloading the dishwasher and I guess not paying enough attention and dropped one of my good mixing bowls that busted all over the floor. It took so long to clean up. I was so mad at myself. ,angry
7623,when a car almost hit me ,angry
7624,Recently hired a second person to work with me and I am optimistic they will help as sell more cars,joyful
7625,Someone stole my phone yesterday! I can't stand people at my job!,angry
7626,when i went to the store and they didnt have the ice cream i had been wanting ,disappointed
7627,I was walking along today and suddenly someone stopped me. They prevented me from stepping in a hole.,grateful
7628,"Arriving at my destination via airport only to find out my car reservation got messed up and wasn't ready when I landed,",furious
7629,when i had an interview,confident
7630,"My wife told me she had a surprise for me the other day.  Turns out she was pregnant, and we weren't reallllyy trying",surprised
7631,It's almost time for my daughters to be home from school. I hope they have had a nice day.,caring
7632,when i let my neighbor borrow my gate card ,trusting
7633,I was not expecting to have such a good time at our county fair last night.,surprised
7634,"On my 29th birthday, my boyfriend surprised me with an impromptu trip to California!",surprised
7635,"I found out that after 10 years at my company, they're laying me off indefinitely.",disappointed
7636,Got my kid a used car. I think it'll last her quite a while.,trusting
7637,I won tickets to see my favorite band in concert!,surprised
7638,I usually spend Saturdays with my parents since my Fiance works most Saturdays. Football season is coming up and my parents always get season tickets to the football games on Saturdays. It is really going to stink not having anything to do once that starts up again. I get to go to some of the games but the ones I dont get to go to I spend alone.  ,lonely
7639,I had to put my dog down today.,devastated
7640,My friend got a huge scholarship,proud
7641,I have a wonderful husband and two sweet kids.  I'm feeling so much better from a horrible autoimmune flare.  Life is good!,content
7642,"I once had to have teeth pulled, and I was given some crazy pill to take before coming to the appoinment because I hate dentists, and it made me act all funny. My mom video taped it and it is so funny but like stinks people saw me acting like a hooligan!",embarrassed
7643,I just celebrated my sons 14th birthday and can't believe he's growing up so fast.  How is a man in my house all of a sudden?,sentimental
7644,I recently took a trip to Canada and was pleasantly surprised by how friendly the people were there.,impressed
7645,I've been worried about money a lot lately.,afraid
7646,I'm going on my first cruise!,excited
7647,I'm about to move this weekend to a new city.  I have everything packed and ready to go and have already cleaned the new house.,prepared
7648,My kids will bring their dirty dishes in and put them in the sink without washing them off. We don't have a dishwasher and I have to end up scrubbing those by hand. It drives me nuts.,surprised
7649,I saw a car crash the other day,surprised
7650,My husband is out of town for work for the next few weeks. I'm not sure what to do by myself in that big house of ours.,lonely
7651,My husband and I are going to couples counseling. I am really positive that we can fix things and be happy.,hopeful
7652,I just got laid off from my job! I am floored! This will destroy me!,devastated
7653,My credit score has always been pretty awful since I made some mistakes when I was 18. Its starting to recover and it makes me feel so good!,excited
7654,My cat vomited on the couch tofay,disgusted
7655,My cat vomited on the couch today,disgusted
7656,I just completed my first 12 mile Tough Mudder!  I couldn't be more happy and pleased with myself!,proud
7657,My friend would not stop whistling even though she knows I can't stand it. I was so irritated by it.,annoyed
7658,I applied for my dream job last week. I just found out today that I did not get it.,disappointed
7659,"I bought my truck and it's a standard truck.  But I enjoy it, and it makes me happy.  I don't need anything extra.",content
7660,Saw a guy drop his phone and kick it back into his hand,impressed
7661,My brother tripped me and made me fall. He's such a jerk.,angry
7662,"Today I was at a store and thought I saw my friend at the checkout, so I was yelling her name over and over and trying to get over to her.  It turned out not to be her and everyone was staring.  ha ha.  My face was so red.",embarrassed
7663,"I was at Target the other day with my daughter and I saw that they are selling Teddy Ruxpin that I used to have from the 80's!  Man, that brought back some great memories!",nostalgic
7664,I rehearsed all night before the big day. On the big day I gave a great speech.,confident
7665,I am going wakeboarding this weekend for the 5th time this summer!  I am really good at it and can do some flawless jumps!  I wonder if I should go pro!,confident
7666,"I have been cleaning and organizing the house all day.  I had a bunch of trash in a huge bag and while I was walking up the basement stairs, it burst open and everything went flying back down.  ",disgusted
7667,Last night I heard something scraping on my window. I got up and opened it to look out.,terrified
7668,I am allergic to shell fish. I almost ate something with shellfish but someone stopped me and I thanked him.,grateful
7669,My best friend bought me a new puppy! I was so shocked and happy.,surprised
7670,Last week I dropped my brand new phone. The glass cracked and now looks terrible. I was so upset about it.,devastated
7671,It is so unfortunate about  how ladies treat men's heart these days,sad
7672,Recently I had a meeting at work where I discovered that someone else's decisions caused me to have a heavier work load.  It was very disappointing.,disappointed
7673,I was moving some furniture and all of a sudden it fell apart. I guess the furniture was made out of cheap wood. I was so ticked off when that happened.,annoyed
7674,"I have done dives off small diving boards for long time. One day, I decided to dive off big diving boards wondering what would happen.",apprehensive
7675,I have a big test coming up for school. I have studied every day but am worried I will not do good.,anxious
7676,I shoplifted and got caught. I've never felt so bad in my life.,ashamed
7677,My little sister is very kind. Yesterday she made a yummy cake for me. I feel really very thankful to have her.,grateful
7678,I am looking forward to win,anticipating
7679,I remember when my kids were young we used to make up our own games. Now they are grown up and I miss that time so much.,nostalgic
7680,"I'm planning to go to Costa Rica next month! It will be my first time, I can't wait!",excited
7681,One night I made myself a bowl of popcorn and some dessert. I then watched a movie on TV while eating this meal.,content
7682,"My family went to the zoo last weekend when the weather channel said it would be mostly a nice day. We are all fairly smart so just incase we brought unbrellas should the sky spontaneously fall on us. At one point it did, and we were not some of the many folks who were without umbrellas!",prepared
7683,"I have a doctors appointment next week. I might have some bad news, so I don't feel very good about it.",anxious
7684,"I played in a cornhole tournament over the weekend, i had a very good feeling about it.",confident
7685,I was informed by my doctor that I had to have a biopsy of a suspicious mass. The whole process of waiting for the test and results caused a lot of anxiety.,apprehensive
7686,"My neighbor keeps parking his car in front of my house instead of his own and it obstruct my view of the park in front of my house.  Man, it bothers me so much!",annoyed
7687,My annual physical is coming up with my doctor. I am worried he will say I have not been taking care of my health.,anxious
7688,"I was at a dinner party at my friends house and I spilled red wine on a couch throw pillow! I flipped the pillow and quickly walked away without anyone seeing. Now, I feel really ashamed for not telling him.",guilty
7689,My mom and her siblings just sold my grandparents farm. With the money my mom got she decided to take our whole family on a cruise for Spring Break. I couldn,surprised
7690,"This weekend i played in a tournament, i lost and wasnt expecting too.",surprised
7691,Last month I donated some amount to a charity. I feel that I am very kind.,caring
7692,"I was ecstatic this past week, my son used the potty for the first time ",joyful
7693,"Life is so good right now. I have everything I could possibly need. Food, shelter, housing, and family makes me happy.",content
7694,I went to a Cirqe d' Sole show recently and was quite amazed by the different acts!  I couldn't smiling while watching!  Their skills were unbelievable!,impressed
7695,"I lost a cornhole tournament this weekend, and my team choked, very frustrating. ",disgusted
7696,"Back when I was in school, I pooped in my own pants, in front of my friends. I felt mortified and I was red faced!",embarrassed
7697,My youngest child just moved out of the house and in to her dorm. I am having some strong empty nest syndrome.,lonely
7698,"It's raining right now after high humidity and heat in the UK which, while it isn't much compared to other countries, is short-lived so we don't have much time to acclimatise. I'm so happy it's cooling down.",content
7699,I am so tired of hurricanes. Every year it seems like hurricanes make life difficult for me. I am wishing this year will be quiet.,hopeful
7700,"I had coached my pitchers all year, i just knew they would dominate the seires.",confident
7701,Everytime my cats run out of food I have to repeat to my fiance why they need a specific kind of food that happens to cost more then normal cat food. He just doesn't understand the brevity of the situation and why it would be so much cheaper to just buy the stupid food then to pay for a bunch of vet bills due to them not eating the certain food.,annoyed
7702,I fell bad about myself,guilty
7703,I feeling good about the economy these days.,hopeful
7704,I did not have enough money to take my son back to school shopping. My mom took him shopping yesterday and got all his supplies and clothes. I am so lucky.,grateful
7705,"Last week, I saw my friend with a pretty girl. I felt envious of him.",jealous
7706,I just hate it when I go to work and realize once I am there I forgot to put my pants on. It's a good thing I always keep a spare set in my office.,embarrassed
7707,This Friday a video game comes out that i get EVERY year.,excited
7708,"While everyone is hating on our current president out here, I stand by how I feel even if I do not fully agree to everything he does or says. Its called being loyal to ones country. ",faithful
7709,I would never cheat on my wife like my brother cheated on his wife,faithful
7710,A game that i love comes out friday and i cant wait,anxious
7711,Once I met someone who told me they were related to Elvis. I believed him but now I am not so sure. My friends say I am too gullible.,trusting
7712,I am sure we are about to enter a economic recession in the near future.,anticipating
7713,"The braves this season were expected to be decent at best, they are in a great position",impressed
7714,I am so worried about my dog. He doesn't want to move around very much any more.,anxious
7715,I am always seeing these ASPCA and animal advocates commercials on TV and it makes me so sad. It is awful the way some humans can mistreat animals. Just horrible!,ashamed
7716,"I was following the weather, and suddenly my power was out and i could see the funnel cloud",terrified
7717,My daughter is a National Honor Society student. She will be a senior this year and I am so proud of her. She amazes me more and more every day.,impressed
7718,The chargers are finally getting some national love,surprised
7719,My daughter had her first cheerleading competition last week. She did so good and her team got 2nd place. I am beaming with pride!,proud
7720,"My baseball team wasnt expected to do much, but we won region and went to the playoffs",surprised
7721,One of my kids signed with a big time college for baseball.,surprised
7722,I could not find my favorite handkerchief that my grandfather gave me. I am afraid I lost it. It means so much to me since he has passed away.,devastated
7723,My best friend just got a girlfriend who is smoking hot. I wish I could find a girl like that. I don't know how he did it.,jealous
7724,when my wife and son are not with me i cant stand it,lonely
7725,i let someone out in front of me today and they didnt wave or anything,angry
7726,I can not believe Stan Mikita died.,devastated
7727,when my son took his first steps the feeling was amazing,proud
7728,I was so embarrassed when I left my keys in the car door at work.  ALL DAY!,embarrassed
7729,"I got accepted to Harvard, I am so happy.",joyful
7730,4 of my top players are returning this season we should have a great year,confident
7731,I'm hopeful for America's future. I feel like we will soon all come together as one!,hopeful
7732,"My brothers wife had our first girl into the family, the wait was intense",anxious
7733,I'm joyful that I have a wonderful and supporting family.  Who knows where I would be without them.,joyful
7734,I made rice for my dinner date with my new girl,prepared
7735,My boyfriend just turned around the other day and proposed to me while we were taking a walk!,surprised
7736,"I was recently on a mule ride in the Grand Canyon of Arizona!  I really had to put a lot of faith in the mule though, because there were a bunch of sheer drops on the trail!",trusting
7737,"I am playing in a tournament this weekend, i think we can win",hopeful
7738,I was really impressed when I saw France win the world cup.  I thought they wouldn't even make it out of the first round.,impressed
7739,I am sad that my favorite TV show Seinfeld isn't on anymore.,sad
7740,"the braves had a big series this week, and started off with a loss",disappointed
7741,I'm joyful that I get to see my wife for the first time in a week tomorrow. I missed her a lot.,joyful
7742,Just bought a new car and I'm surprised at how well it drives.,impressed
7743,"I just found out that my sister in law is pregnant which is so exciting, but she has had a miscarriage before so I'm just trying to stay positive for her and I know things will go well.",hopeful
7744,"My mother in law recently sent a great feast by way of my wife, and I am very thankful for that.",grateful
7745,I was proud when I graduated from college. What a rough and fun 4 years that was.,proud
7746,School is about to start and I can't wait!,anticipating
7747,seeing all those fires in california is terrible,devastated
7748,the fact that fornite is a free game and is the number 1 played game is amazing,surprised
7749,When my dog ran out of my house my neighbor was able to catch him. I am so happy I have such a nice neighbor. He does things for me all the time.,grateful
7750,my coworker comes into work late everyday and it drives me crazy,annoyed
7751,"Whenever it's late at night and I'm on the couch watching T.V., I feel alone and empty inside.",lonely
7752,I can't wait for winter time. I'm already doing some shopping for warm clothes.,anticipating
7753,"Whenever I let my brother use my car, I'm very trusting of him he'll take care of it.  So far no problems",trusting
7754,"i was supposed to get madden today, and the store didnt have enough copies",annoyed
7755,"the new madden comes out friday, im excited to start playing online",confident
7756,I am just feeling generally happy to have what I need in life right now and to be healthy.,content
7757,"I'm grateful for my community.  It's very tight nit and friendly, always looking out for each other!",grateful
7758,when i don't know if i have a busy day coming up the next day the unknown drives me crazy,anxious
7759,"my grandmother has major back surgery next week, im not looking forward to it",sad
7760,living out in the country when it gets dark it's really hard to see what's going on around you at nite,afraid
7761,"I took my boots off after a long day of working outside and MAN, the smell!",trusting
7762,"Anytime I see a mall, I get nostalgic about all the times going there to play in the arcade.  Good Ole' Days.",nostalgic
7763,"i cant wait to play the new madden, ive been waiting months for this",anticipating
7764,I'm faithful I'm going down the right career path for once in my life.  Took me long enough.,faithful
7765,You never know how happy you can be until you try,joyful
7766,"the redsox have a chance to break the amount of wins in a season, that is insane",impressed
7767,I was terrified when we had a major ice storm and the electricity was out for weeks.  ,terrified
7768,my son pottyed for the first time,proud
7769,It's sad thinking about my parents growing old and not how I once remembered them. I guess that's life.,sad
7770,seeing my son grow up so fast isnt easy,sad
7771,My neighbors dog dug a hole under my fence and chased me back into my house!,afraid
7772,my husband helps with housework and cooking,grateful
7773,I had an issue with a package never arriving at my door... thankfully the company had great customer service and replaced it right away,impressed
7774,I have been wondering how it feels to be without someone,lonely
7775,I was surprised to see my wife actually cooked dinner at home.  First time in months.,surprised
7776,I was pleasantly shocked to get a visit from my brother the other day. Made me happy to see him after so long.,surprised
7777,The first day I started working out I was anxious about looking silly at the gym.,anxious
7778,I felt guilty the other day for forgetting a close friend's birthday.  We've known eachother for 15 years.,guilty
7779,"I let my life time best friend borrow $10,000 so he could get a vehicle to get back and forth to work.",trusting
7780,seeing so many instances of abduction so close to me is horrifying,terrified
7781,this weekend i found an old pyrex like my mom used to have,nostalgic
7782,my wife starts her masters program this month,proud
7783,It's always sad to see someone you liked from work find a different job.,sad
7784,Every time I make cookies I end up eating most of them. I feel bad because the rest of my family do not get to have any. I wish I had better control over myself.,guilty
7785,I'm excited for my birthday coming up! I will be seeing friends I haven't seen in awhile.,excited
7786,the amount of deaths in mexico is shocking,surprised
7787,Hurricane season is right around the corner and I'm a little worried about what it might produce.,anxious
7788,my brother is in rehab after 2 months in the hospital,sad
7789,"I feel guilty for drinking all my family's drinks, I can't help it!",guilty
7790,the way people act towards our country is disgraceful,disgusted
7791,When I was walking around my neighborhood I felt something drop on my head. I reached up and realized a bird had did its business on me. I was revolted!,disgusted
7792,She is as nice as mother Theresa,caring
7793,I'm proud of the college I graduated from.  Brings pride whenever I tell people.,proud
7794,I just got back from grocery shopping at the store.  I was overcharged for my beer.,furious
