Unnamed: 0,situation,emotion,labels
1296,I was playing with my toddler and there was this HUGE spider on his play tent. This spider was seriously so big. I called my boyfriend and he told me to spray it with hairspray and use one of his shoes to smash it.,terrified,"['Fear', 'Panic']"
1297,"I feel ready for my trip, tomorrow. Everything is ready.",prepared,"['Calm', 'Urgency']"
1298,School is about to start again. Me and my kids are so ready!,anticipating,"['Urgency', 'Anxiety']"
1299,I remember being a kid in the summer. It was awesome,nostalgic,"['Calm', 'Distress']"
1300,I got really happy when my dad surprised me with my first car. I cannot remember feeling so joyful,joyful,['Calm']
1301,I was very grateful when my dad got me my first baseball glove for little league. It was a expensive glove and he did not have to do that,grateful,['Calm']
1302,Just got back from a job interview. I was able to answer all the questions and the recruiter seem impressed.,anticipating,"['Urgency', 'Anxiety']"
1303,Sometimes I just sit home and look at my kids baby pictures,sentimental,"['Calm', 'Distress']"
1304,"When my aunt passed away, it was just bad. It was the worst thing to happen to me at that point",devastated,"['Distress', 'Helplessness', 'Panic']"
1305,I went grocery shopping he other day. I didn't realize I had left my wallet until it was time to pay.,embarrassed,"['Distress', 'Helplessness']"
1306,I was proud of my brother when he finished college. He worked so hard at it,proud,['Calm']
1307,"I worked so hard on a project, and someone stole it and presented it as their own.",angry,"['Aggression', 'Coercion']"
1308,I went to a haunted house.,afraid,"['Fear', 'Anxiety']"
1309,I applied for a promotion. I hope I get it.,excited,['Urgency']
1310,I lost my job and was in danger of losing my home to foreclosure. My family loaned me money and saved me from that.,joyful,['Calm']
1311,My uber had me late to work this morning. I was not happy.,angry,"['Aggression', 'Coercion']"
1312,My department just got shut down.,terrified,"['Fear', 'Panic']"
1313,Almost time for school and we have everything we need! I can't wait,prepared,"['Calm', 'Urgency']"
1314,I finally paid off the car.,content,['Calm']
1315,My husband used to be a drug addict. During that time he cheated on me many time. No matter what he did though I always stayed true to him.,faithful,['Calm']
1316,My friend just dumped his girlfriend for a prostitute.,disgusted,"['Aggression', 'Distress']"
1317,My best friend just left for Europe. She'll be gone for 4 years.,sad,"['Distress', 'Helplessness']"
1318,My nephew told me once of something really stupid that he would do if the situation arose.,angry,"['Aggression', 'Coercion']"
1319,I failed my final exam. Now I'll lose my scholarship.,ashamed,"['Distress', 'Helplessness']"
1320,I ordered a hamburger from a restaurant and it was raw in the middle.,disgusted,"['Aggression', 'Distress']"
1321,Paid off all my debt. Took 10 years.,content,['Calm']
1322,Last weekend I took my daughter to Catalina for the first time. I was so elated to take her camping and see the experience through her eyes. I bought all of the items for smores and a cute pink coleman sleeping bag. I told her about campling and showed her a couple cartoons. I obesessed and planned out everything we would do.,excited,['Urgency']
1323,My neighbor's house burn down. We can't find where the cats went.,devastated,"['Distress', 'Helplessness', 'Panic']"
1324,I found a ring I thought I had lost recently when I was cleaning out my closet. It had belonged to my grandfather and it was very special to me.,sentimental,"['Calm', 'Distress']"
1325,I won a 500 gift card for answering a question at the site on  a vendor we use at work,surprised,"['Urgency', 'Anxiety']"
1326,"My friend lost her cat on Monday. We called the shelter, and they say they might have a cat that matches our description.",hopeful,"['Calm', 'Urgency']"
1327,When I moved into my house I was living by myself for the first time.,lonely,"['Distress', 'Helplessness']"
1328,"Earlier a guy cut me off on the road, he was driving a box truck and I saw my life flash before my eyes.",afraid,"['Fear', 'Anxiety']"
1329,I found $20 on the side walk today,surprised,"['Urgency', 'Anxiety']"
1330,I put in vacation request since January for next week. And now they're telling me they're too busy to let me go.,angry,"['Aggression', 'Coercion']"
1331,"My car had a bat hanging out the back, and I was about to get on the highway. A nice person stopped me and let me know so it wouldn't fly out",grateful,['Calm']
1332,I moved to another state and my family was left behind.,sad,"['Distress', 'Helplessness']"
1333,I was home alone and someone was in the carport looking in a window,afraid,"['Fear', 'Anxiety']"
1334,"I get hit on by a lot of girls, but I'm happy with the one I got.",faithful,['Calm']
1335,"I got a job offer but, i'm not sure if I should take it. ",apprehensive,"['Anxiety', 'Fear']"
1336,I haven't heard from my girlfriend in 2 weeks. Wonder what's going on?,anxious,"['Anxiety', 'Panic']"
1337,My husband was in an accident 2 years ago and broke his back. I was trying to take care of him and 4 kids. The church brought us meals every night for 2 weeks after we came home. It was great.,grateful,['Calm']
1338,"Been waiting to hear back from my wife. She's at the doctor getting checked, and we've been trying for a baby for a long time.",anticipating,"['Urgency', 'Anxiety']"
1339,When I took my son to a baseball recruiting camp to perform in front of college coaches. ,hopeful,"['Calm', 'Urgency']"
1340,"I'm sitting my friend's house while she's on vacation. While mowing her lawn, a rock hit her window. I feel so bad.",guilty,"['Distress', 'Helplessness']"
1341,I spent an evening recently with my Mom looking through old pictures.,nostalgic,"['Calm', 'Distress']"
1342,My friend just got a job paying 20k more than me. I've got more experience.,jealous,"['Coercion', 'Distress']"
1343,My sister had a miscarriage ,sad,"['Distress', 'Helplessness']"
1344,I cheated on my girlfriend.,guilty,"['Distress', 'Helplessness']"
1345,Got a raise at my job. Now making 20k more.,excited,['Urgency']
1346,There is an award at work that I really wanted my coworker to win,hopeful,"['Calm', 'Urgency']"
1347,coped pulled me over for going 90 in a 65 and i thought i was going to lose my license and maybe get arrested.,anxious,"['Anxiety', 'Panic']"
1348,My friend's at the hospital after a pretty bad car accident. We finally got news she's woken up after being asleep for 6 days.,hopeful,"['Calm', 'Urgency']"
1349,Went to a restaurant and saw people eating live squid.,disgusted,"['Aggression', 'Distress']"
1350,i saw a dog pee in front of my door. yak,disgusted,"['Aggression', 'Distress']"
1351,Went back to my old town. Met a lot of my friens from childhood.,nostalgic,"['Calm', 'Distress']"
1352,My friend adopted a really elderly dog. I'm so proud of her.,caring,['Calm']
1353,I accidentally left a very important document at home that I needed. It made me look bad in front of my boss,disappointed,"['Distress', 'Helplessness']"
1354,I had to leave my dog at the vet for a week since I was traveling. It's quite silent and weird,lonely,"['Distress', 'Helplessness']"
1355,"One Christmas when I was thirteen years old, I did not get the play station that I wanted.",furious,"['Aggression', 'Coercion', 'Panic']"
1356,I am mad at my friend eric,furious,"['Aggression', 'Coercion', 'Panic']"
1357,I love my wife,hopeful,"['Calm', 'Urgency']"
1358,"When I was six years old, my mom let me watch IT.",terrified,"['Fear', 'Panic']"
1359,on my 25th birthday party,surprised,"['Urgency', 'Anxiety']"
1360,I went to a haunted house and was scared of the ghosts.,terrified,"['Fear', 'Panic']"
1361,"I had confidence the Falcons would win, man was I wrong.",hopeful,"['Calm', 'Urgency']"
1362,"I graduated from college last year, I was so happy.",proud,['Calm']
1363,"Everytime my wife buys food, I eat all of the cookies before she can get any.",guilty,"['Distress', 'Helplessness']"
1364,"I failed my test last week, I am disappointed.",ashamed,"['Distress', 'Helplessness']"
1365,I was returning an item at a store and the person in front of me had a whole cart of items to return and was taking forever.,annoyed,['Aggression']
1366,There was a fire at my house but I had my fire extinguisher.,prepared,"['Calm', 'Urgency']"
1367,I was putting together a puzzle and was certain that I could do it.,confident,['Calm']
1368,I farted in front of the school last week. ,embarrassed,"['Distress', 'Helplessness']"
1369,to see a kid throwing stones at a lame dog,annoyed,['Aggression']
1370,My roommate went to Paris. I was at the house all alone.,lonely,"['Distress', 'Helplessness']"
1371,I saw a shark in the water last week.,afraid,"['Fear', 'Anxiety']"
1372,My father died after an illness and I felt as if I could not go on.,devastated,"['Distress', 'Helplessness', 'Panic']"
1373,My brother won the lottery last month.,jealous,"['Coercion', 'Distress']"
1374,"Every time I go to church, I know the lord is taking care of me.",trusting,['Calm']
1375,My brother was bothering me on the road trip last week.,annoyed,['Aggression']
1376,My dog died. She was 20 years old.,sad,"['Distress', 'Helplessness']"
1377,I won the lottery last week. I was so happy.,joyful,['Calm']
1378,I will always be married to my wife.,faithful,['Calm']
1379,I thought just maybe I would of got the promotion.,hopeful,"['Calm', 'Urgency']"
1380,I forgot about my best friend's birthday last week and I felt like I betrayed him by forgetting about our long friendship.,sad,"['Distress', 'Helplessness']"
1381,I had to wait in line for food at the mall but all the people sitting and eating made me nervous.,anxious,"['Anxiety', 'Panic']"
1382,We stock our celler every year with new food and water.,prepared,"['Calm', 'Urgency']"
1383,"My best friend moved away, I am not happy.",sad,"['Distress', 'Helplessness']"
1384,"I went to the beach, I hate the water.",terrified,"['Fear', 'Panic']"
1385,"I didn't expect any free movie tickets when I went to the movies yesterday, it definitely caught me off guard. ",surprised,"['Urgency', 'Anxiety']"
1386,A tree branch broke off the tree in our backyard yesterday during the storm. It hit our roof and I am just lost for words.,devastated,"['Distress', 'Helplessness', 'Panic']"
1387,"When playing video games, I always worry and think about if i can win or not.",anticipating,"['Urgency', 'Anxiety']"
1388,"I got a promotion last month, thank god.",grateful,['Calm']
1389,Yesterday I went into a job interview after preparing for several days. I gave my pitch to the interviewer and felt great about everything. I am confident I will hear back soon to get the job!,confident,['Calm']
1390,I love dogs and yesterday I got to watch a friend's puppy for a week while they were on vacation. He was adorable.,excited,['Urgency']
1391,"I've recently started playing dirt rally. It was hard at first, but now that I am getting better I am having more fun than ever!",confident,['Calm']
1392,i cant wait to hear if my house sells. i am so nervous ,anxious,"['Anxiety', 'Panic']"
1393,I was at home and at the last minute my father took me to the Yankee game.,surprised,"['Urgency', 'Anxiety']"
1394,"I wanted to go to mcdonalds but i know that i am a wendy's guy , so i decided against it even though i was starving",faithful,['Calm']
1395,"I go grocery shopping on Saturday morning, and my adult son has the weekend off and he proceeds to sit around all weekend eating all the food with zero self control.",annoyed,['Aggression']
1396,that i made a nice meal. from homemade ,proud,['Calm']
1397,this lady was infront of me at the store and she would not move her 4 items so i could put my items to scan,annoyed,['Aggression']
1398,I was really excited when my daughter came home from college to visit me.,excited,['Urgency']
1399,"I was in college taking exams, and I was trying my best to get an A",hopeful,"['Calm', 'Urgency']"
1400,I was driving through flood waters and my car stalled out.,afraid,"['Fear', 'Anxiety']"
1401,ready to move ,prepared,"['Calm', 'Urgency']"
1402,"My team, the Yankees won last night.",proud,['Calm']
1403,I lied to my girlfriend about how much education I had,ashamed,"['Distress', 'Helplessness']"
1404,I was impressed on my first day of my senior year in high school. The new science teacher was talking about things I liked,impressed,['Calm']
1405,I miss my family. everyday ,lonely,"['Distress', 'Helplessness']"
1406,"I accidently left my purse in the shopping cart and drove off, when I returned someone had returned it to the store's lost and found. ",grateful,['Calm']
1407,I cost my team the game last night.,guilty,"['Distress', 'Helplessness']"
1408,i did not have enough money for grocery so i went to the foodbank and they gave me some good meat and can food,grateful,['Calm']
1409,"Just got finished jogging and I'm feeling really tired, but I have a sense of achievement, too.",content,['Calm']
1410,im letting a family move into my house ,trusting,['Calm']
1411,My dog passed away and I cried.,sad,"['Distress', 'Helplessness']"
1412,I was approached by a man that I did not know while walking in the park.,apprehensive,"['Anxiety', 'Fear']"
1413,my friend did something bad to me ,disappointed,"['Distress', 'Helplessness']"
1414,"Found out my roommate got a cat while I was gone, which was a little shocking",surprised,"['Urgency', 'Anxiety']"
1415,I went to a new school my sophomore year. I was just leary about the whole thing,apprehensive,"['Anxiety', 'Fear']"
1416,I walked into the wrong class on the first day of college,embarrassed,"['Distress', 'Helplessness']"
1417,My son finally passed his swim class.,proud,['Calm']
1418,"My dog was running around in my yard the other day, and she came inside and was being really mean to everyone. Upon closer look she had a splinter in her paw from wood that my other dog chewed up on the porch that I had not cleaned up yet. I felt bad.",guilty,"['Distress', 'Helplessness']"
1419,"I had a baby last month, so happy.",joyful,['Calm']
1420,I was reading the news and came across a story about children being killed in a fire. It hurt my heart to think about it.,sad,"['Distress', 'Helplessness']"
1421,i got a dream house!,proud,['Calm']
1422,"Seeing pictures from my summer vacation a month ago with my long distance girlfriend, makes me feel both happy and sad",nostalgic,"['Calm', 'Distress']"
1423,I was excited when I was accepted into graduate school,excited,['Urgency']
1424,I failed a science test early on in high school. I was just ashamed at how I did,disappointed,"['Distress', 'Helplessness']"
1425,I was hit by a tornado in the middle of the night and now I can't stand big storms.,anxious,"['Anxiety', 'Panic']"
1426,I was driving through the parking lot the other day and someone backed into my new SUV!,angry,"['Aggression', 'Coercion']"
1427,I was impressed when my best friend graduated as valedictorian of our class,impressed,['Calm']
1428,I had a flat tire while driving on the interstate. A nice man stopped to help me.,grateful,['Calm']
1429,"Riding a big roller coaster for the first time while having a fear of heights, I was kind of worried how I would do ",terrified,"['Fear', 'Panic']"
1430,almost having a car crash,terrified,"['Fear', 'Panic']"
1431,I recently took the Law School Admissions Test.,confident,['Calm']
1432,I was shocked when Lebron left the Cavs again,devastated,"['Distress', 'Helplessness', 'Panic']"
1433,"When I think about a certain even with my parents that involved a dinner party, I get very nostalgic. I just think it was a fun time and I miss it",nostalgic,"['Calm', 'Distress']"
1434,"I won then lottery, I never have to work again.",joyful,['Calm']
1435,I am heartbroken that Lebron left for LA,devastated,"['Distress', 'Helplessness', 'Panic']"
1436,"My husband has never planned a date on his own since we were married. This weekend he is taking me on a trip, I'm so excited.",surprised,"['Urgency', 'Anxiety']"
1437,"I was confident when I won honor society preisdent in high school, I beat a really popular girl",confident,['Calm']
1438,It felt good when Lebron left the Cavs for the Lakers,proud,['Calm']
1439,"When I studied all night for a test in science in high school, I felt confident. I just knew I was going to do well",confident,['Calm']
1440,I got my paycheck and there was more money than I was expecting.,surprised,"['Urgency', 'Anxiety']"
1441,"Before I met my girlfriend I felt lonely very often, I am glad that is better now",lonely,"['Distress', 'Helplessness']"
1442,I am nervous about going to law school soon,apprehensive,"['Anxiety', 'Fear']"
1443,"I got all As in my first college semester, and it made me feel really good about myself",proud,['Calm']
1444,Asked a relative to care for our pet while we were gone and the dog ended up missing.,angry,"['Aggression', 'Coercion']"
1445,I'm going on my first trip to Disney World in a few weeks. I can't wait!,anticipating,"['Urgency', 'Anxiety']"
1446,My last year of high school I worked really hard and got A's all year long.,proud,['Calm']
1447,I was not sure if I needed to accept this new job offer. I just did not know anyone there,apprehensive,"['Anxiety', 'Fear']"
1448,"I procrastinated on turning in a paper for a college class, and she ended up giving me a D for the course overall.",disappointed,"['Distress', 'Helplessness']"
1449,I was disgusted the way the cavs owner treated Lebron during his two stints with the team,disgusted,"['Aggression', 'Distress']"
1450,"My friend and I got into an awful fight, she won't forgive me.",ashamed,"['Distress', 'Helplessness']"
1451,I was hoping to get a new pet this year!,hopeful,"['Calm', 'Urgency']"
1452,I have always been faithful to my grilfriend of 2.5 years,faithful,['Calm']
1453,I miss being a kid. Adulting is terrible,sentimental,"['Calm', 'Distress']"
1454, I get nostalgic thinking about all the games I used to lpay with my friends on our street,nostalgic,"['Calm', 'Distress']"
1455,"All of my friends have these great jobs and travel so often, it isn't fair.",jealous,"['Coercion', 'Distress']"
1456, was surprised when my parents gave me a car as my graduation present from college,surprised,"['Urgency', 'Anxiety']"
1457,I told something to someone that I had promised to keep a secret.,guilty,"['Distress', 'Helplessness']"
1458,School is about to start and we have everything we need.,prepared,"['Calm', 'Urgency']"
1459,I have always been faithful to my girlfriend of 2.5 years,faithful,['Calm']
1460,All my neighbors constantly want to get together to gossip and talk bad about the people who live across the street. I'm sick of it!,angry,"['Aggression', 'Coercion']"
1461,"When my dad got sick randomly, I went into care mode. I made sure he was going to get all the help he needed",caring,['Calm']
1462,I can't believe my electric is bill is so high this onth.,surprised,"['Urgency', 'Anxiety']"
1463,I was impressed when my friend was our valedictorian in high school,impressed,['Calm']
1464,"Sometimes I get annoyed by my parents, there seems to be such a generational gap between us sometimes",annoyed,['Aggression']
1465,I miss my old boyfriend. He is no good though.,nostalgic,"['Calm', 'Distress']"
1466,when i didnt paint the house the right color ,disappointed,"['Distress', 'Helplessness']"
1467,I was disgusted when I saw a fight in high school that ended with someone cracking their skull open a bit,disgusted,"['Aggression', 'Distress']"
1468,Excited when the Lakers got Lebron.,excited,['Urgency']
1469,I thought my new neighbors was nice but the police have been over too much.,annoyed,['Aggression']
1470,I have plans to go meet my best friend who I haven't seen in 10 years.,joyful,['Calm']
1471,I was embarassed when I was in school and my pants fell down in front of everyone,embarrassed,"['Distress', 'Helplessness']"
1472,Somebody said something about me that was not true.,angry,"['Aggression', 'Coercion']"
1473,I was expecting our anniversary avidly. But on the day my betterhalf had work in her native place. So she went and I was alone here. Also in mind pressure she forget to wish me.,angry,"['Aggression', 'Coercion']"
1474,I was so scared when my dad used to scare me as a kid,terrified,"['Fear', 'Panic']"
1475,I wish I could go back to the first date my girlfriend and I had,nostalgic,"['Calm', 'Distress']"
1476,"I miss being a kid and all the stupidity that came with it, I wish I was young again",nostalgic,"['Calm', 'Distress']"
1477,I am afraid of who will move in next door to me.,afraid,"['Fear', 'Anxiety']"
1478,The first time I went on a date made me feel very awkward,embarrassed,"['Distress', 'Helplessness']"
1479,"Before I met my girlfriend and friend group, I was so lonely all the time",lonely,"['Distress', 'Helplessness']"
1480,When my son was born.,caring,['Calm']
1481,I felt guilty when I,guilty,"['Distress', 'Helplessness']"
1482,I was upset when the spurs traded away Khawi Leonard,sad,"['Distress', 'Helplessness']"
1483,"I was disappointed when I saw how much the Eagles tickets cost for their opener, I really wanted to go",disappointed,"['Distress', 'Helplessness']"
1484,I was looking forward to one of my favorite shows coming back on and it was cancelled.,disappointed,"['Distress', 'Helplessness']"
1485,I feel bad for the kids in my neighborhood. Their parents are trash.,caring,['Calm']
1486,My long distance girlfriend surprised me when she flew in to visit me this past weekend,surprised,"['Urgency', 'Anxiety']"
1487,I felt guilty when I broke our house window with a football,guilty,"['Distress', 'Helplessness']"
1488,when i came across an old diary ,sentimental,"['Calm', 'Distress']"
1489,I've written a competitive exam last week. The result will be announced tomorrow. I hope to get a good rank in it.,hopeful,"['Calm', 'Urgency']"
1490,"I miss being a kid, all the games I played with neighbors, just great times",nostalgic,"['Calm', 'Distress']"
1491,"Sometimes even though I have a girlfriend, I wonder what it'd be like to be with someone else.",guilty,"['Distress', 'Helplessness']"
1492,I got mad when I lost my dog,angry,"['Aggression', 'Coercion']"
1493,"My brother graduated college and has already gotten a job, I feel pretty happy for  him",impressed,['Calm']
1494,thankful that during a fire i still kept my home ,grateful,['Calm']
1495,I was excited when my parents got me a car as a graduation gift,excited,['Urgency']
1496,I once was at a party and I saw a person throw up all over another person. It was so gross!,disgusted,"['Aggression', 'Distress']"
1497,"I was disgusted when I saw someone bleeding during a fight, their head had been cracked",disgusted,"['Aggression', 'Distress']"
1498,that i got accepted into college ,surprised,"['Urgency', 'Anxiety']"
1499,"had to leave my long distance girlfriend to go back home, after I had spent a month of time with her",sad,"['Distress', 'Helplessness']"
1500,Last week was my friend's birthday. I always take her to dinner for her birthday and buy her a drink. I totally forgot about her birthday.,guilty,"['Distress', 'Helplessness']"
1501,I was upset when my dog ran away,angry,"['Aggression', 'Coercion']"
1502,"My brother's dog pooped upstairs, and I didn't see it, and ended up stepping in it...",disgusted,"['Aggression', 'Distress']"
1503,scared that my daughter will grow up and be bad ,afraid,"['Fear', 'Anxiety']"
1504,I recently received my teaching certificate,joyful,['Calm']
1505,that my wife gets to take a vaca from wokr ,jealous,"['Coercion', 'Distress']"
1506,I can't believe Matt Ryan got 30 million a year.,surprised,"['Urgency', 'Anxiety']"
1507,ready for my house to sell ,anxious,"['Anxiety', 'Panic']"
1508,"If my plans work out, Ill be moving to France in the winter.",hopeful,"['Calm', 'Urgency']"
1509,I trusted my brother in law with my dog and messed up.,trusting,['Calm']
1510,the day i lost my father ,devastated,"['Distress', 'Helplessness', 'Panic']"
1511,My car ran out of gas on the side of the road near my house as I was going to work that morning. I called a friend and he came by to give my car some gas despite also having work that day.,grateful,['Calm']
1512,I was disgusted when I saw someone get their head cracked open during a fight,disgusted,"['Aggression', 'Distress']"
1513,My 23 year old cat is missing. I have had her since I was a little kid. She has been gone for a week.,devastated,"['Distress', 'Helplessness', 'Panic']"
1514,I was at a retail store and encountered a lost child.,caring,['Calm']
1515,when i loaned my friend money ,trusting,['Calm']
1516,My dog got into some grapes the other day when my toddler had hid them in a toy and the dog found them. I know grapes are not good for dogs! It made me so nervous!,anxious,"['Anxiety', 'Panic']"
1517,"I have to take a foreign language class for college, and I'm not sure how well I'll do",anxious,"['Anxiety', 'Panic']"
1518,"My cat is sick, I don't know what to do.",devastated,"['Distress', 'Helplessness', 'Panic']"
1519,when i lied to my dad ,guilty,"['Distress', 'Helplessness']"
1520,"Recently, I just received an unexpected bonus at work.  It was given to me for working extra hard on a project!",joyful,['Calm']
1521,I saw a spider and i got scared.,afraid,"['Fear', 'Anxiety']"
1522,I had to teach an inservice class at work. I went over all of my notes very carefully.,prepared,"['Calm', 'Urgency']"
1523,"I really don't want to drive on this long trip, a lot of things could go bad.",apprehensive,"['Anxiety', 'Fear']"
1524,I felt grateful when my dad helped me get a new car. He was there with me the whole time,grateful,['Calm']
1525,I am happy I survived the weekend.,grateful,['Calm']
1526,I was very happy when I got accepted into graduate school,joyful,['Calm']
1527,"I was anxious when I applied for grad schol, I did not know if I would get in",anxious,"['Anxiety', 'Panic']"
1528,I am the best at being a mom. You have no idea.,confident,['Calm']
1529,"I was ashamed wehn I failed my first test in college, I thought I was doing well",ashamed,"['Distress', 'Helplessness']"
1530,My cousin bought a really pretty shirt that I had been wanting.,jealous,"['Coercion', 'Distress']"
1531,Stressful events are going on but I trust that things will work themselves out.,faithful,['Calm']
1532,the day i had to put my dog to sleep ,sad,"['Distress', 'Helplessness']"
1533,I wish I was Dwayne Johnson.,jealous,"['Coercion', 'Distress']"
1534,my daughter remembered my bday,surprised,"['Urgency', 'Anxiety']"
1535,I am so mad that I have to go back to school.,furious,"['Aggression', 'Coercion', 'Panic']"
1536,I was anxious when I applied for graduate school,anxious,"['Anxiety', 'Panic']"
1537,"When my dad wanted to help me get a car, I trusted him. I knew he would help me a lot",trusting,['Calm']
1538,"I am grateful for my parents, they help me out with so much",grateful,['Calm']
1539,I am so happy it's summertime.,joyful,['Calm']
1540,I was lonely before I met my girlfriend and group of good friends,lonely,"['Distress', 'Helplessness']"
1541,I think I sometimes enjoy it too much when my kids leave for the weekend.,ashamed,"['Distress', 'Helplessness']"
1542,I can not wait for Top Gun 2.,anticipating,"['Urgency', 'Anxiety']"
1543,I found a winning scratch off ticket on the side of the road!,surprised,"['Urgency', 'Anxiety']"
1544,My daughter had her first dance recital and remembered all the steps!,proud,['Calm']
1545,"My wife is off to her mom's, stuck alone at my home!!",lonely,"['Distress', 'Helplessness']"
1546,My family has fallen on hard times. We got to the point that we couldn't catch up on our car note. One day the tow company came and hauled it away. I felt really let down and didn't know what I should do.,disappointed,"['Distress', 'Helplessness']"
1547,My new SUV was hit in the parking lot yesterday,disgusted,"['Aggression', 'Distress']"
1548,very recently i got back into cooking. i've always loved it and it makes me so happy. i recently made some jerk chick philly cheesesteaks and seeing an idea come to life right in front of my eyes was so exhilarating.,excited,['Urgency']
1549,I loved celebration July 4th this year.,proud,['Calm']
1550,I didn't get the promotion I worked so hard for. ,sad,"['Distress', 'Helplessness']"
1551,School is going to start in a few weeks. Not looking forward to it.,anticipating,"['Urgency', 'Anxiety']"
1552,I get to visit my long distance girlfriend in less than a week!,excited,['Urgency']
1553,"I felt so much wonder and awe when I went to the beach. I was surrounded by such profound beauty, and I spent my entire day swimming, sunbathing, and laughing with my partner. It made me so happy.",joyful,['Calm']
1554,Yesterday was my brother's birthday and I forgot to call him. I always call him on his birthday and we go to lunch. I feel so bad.,guilty,"['Distress', 'Helplessness']"
1555,I'm in a current situation with my mother where I am not feeling as caring as I used to be. This is because of how she acted towards me when my father was in hospice and watching him suffer through his last days.,content,['Calm']
1556,Doing pretty good at work today. Feeling like things are going my way.,content,['Calm']
1557,that i will find love ,hopeful,"['Calm', 'Urgency']"
1558,My girlfriend and I are in a long distance relationship. It's rough sometimes not always having the person you love the most around,lonely,"['Distress', 'Helplessness']"
1559,my child lied to me ,furious,"['Aggression', 'Coercion', 'Panic']"
1560,Looking forward to the start of the college semester. It's my senior year and I feel like I have a grip on things.,confident,['Calm']
1561,My friend asked me to get ready for her birthday party. I told her that I was unable to attend the party. She get sad about it. But I went to her home in the midnight to wish her.,surprised,"['Urgency', 'Anxiety']"
1562,"thinking about a career change, but I'm not sure what to do about it yet...",apprehensive,"['Anxiety', 'Fear']"
1563,My wife does most of the chores at home.  I am retired and feel as though I should do more to help out.,guilty,"['Distress', 'Helplessness']"
1564,I was so grossed out when I was walking my dog and saw a dead animal on the sidewalk.,disgusted,"['Aggression', 'Distress']"
1565,"I asked my brother to change my oil over a month ago, and he still won't help me. He promised, and yet he keeps putting it off. Kind of annoying.",angry,"['Aggression', 'Coercion']"
1566,I think I want to rescue a cat.,caring,['Calm']
1567,"I am so mad that school is back, traffic will be horrible again.",furious,"['Aggression', 'Coercion', 'Panic']"
1568,I watched a scary movie lasy. I had so many nightmares.,angry,"['Aggression', 'Coercion']"
1569,when i moved into my new apartment ,angry,"['Aggression', 'Coercion']"
1570,I have already bought all my books for this semester.,prepared,"['Calm', 'Urgency']"
1571,My wife and I will be celebrating 15 years of marriage this year.  I am a very lucky man as she is a wonderful partner.,sentimental,"['Calm', 'Distress']"
1572,"When my aunt did not come to my graduation, it made me sad. I just wanted her to be there",disappointed,"['Distress', 'Helplessness']"
1573,I had a little neighbor girl that was out wandering around outside without a parent and I was really concerned about her.,caring,['Calm']
1574,I won the trophy in the chess competition which is held between the departments in the office. It's the biggest win for me.,proud,['Calm']
1575,I cant believe game of thrones is ending.,sad,"['Distress', 'Helplessness']"
1576,I feel horrible I lost my dog.,guilty,"['Distress', 'Helplessness']"
1577,I was so mad at my boss when he scheduled me on my day off.,angry,"['Aggression', 'Coercion']"
1578,"I was at work recently and had an interesting thing occur.  About halfway through the day, one of my buddies came over to my desk and told me my fly was undone.  I had been walking around all day with an open fly",embarrassed,"['Distress', 'Helplessness']"
1579,My friend has a major surgery today.  He has never been through something like this and I am worried for him as well.,caring,['Calm']
1580,my daughter choked on food ,terrified,"['Fear', 'Panic']"
1581,I found some of my old childhood toys in the attic and introduced them to my kid.  She loved playing with them.,nostalgic,"['Calm', 'Distress']"
1582,I was proud when my brother graduated college. He really did work hard for it,proud,['Calm']
1583,Graduating High School! ,proud,['Calm']
1584,I was driving through the parking lot of the grocery store.  Some lazy lady looking for a close parking spot backed into my new car.,furious,"['Aggression', 'Coercion', 'Panic']"
1585,Was impressive that Lebron went to the lakers,impressed,['Calm']
1586,My wife left me and I have no one else.,lonely,"['Distress', 'Helplessness']"
1587,I have an extremely wonderful wife.  She is very supportive and is the most caring mother I know.,grateful,['Calm']
1588,"Two ago, I was attacked by a robber during night. He had a knife. I had choice to give him my wallet.",terrified,"['Fear', 'Panic']"
1589,"It was my birthday last weekend. Instead of dinner as planned, they gave me a weekend trip to NYC.",surprised,"['Urgency', 'Anxiety']"
1590,I recently discovered that my wife of 15 years is cheating on me.  She has been seeing my best friend of 20 years.  I am devastated.,angry,"['Aggression', 'Coercion']"
1591,i miss my dad ,lonely,"['Distress', 'Helplessness']"
1592,My home computer stopped working,disappointed,"['Distress', 'Helplessness']"
1593,My daughter recently successfully potty trained and I was very proud of both her and myself for accomplishing this feat!,proud,['Calm']
1594,I was happy when I went on vacation from work,joyful,['Calm']
1595,I pray I pass the bar exam next week.,hopeful,"['Calm', 'Urgency']"
1596,I remember when my grandma passed my family went to her house to clean it out and we found a lot of memorabilia,nostalgic,"['Calm', 'Distress']"
1597,Finally got a job that pays enough for the bills and a bit left over to save for emergencies.,content,['Calm']
1598,I was ready when that last storm hit us,prepared,"['Calm', 'Urgency']"
1599,I am ready for my test tomorrow.,prepared,"['Calm', 'Urgency']"
1600,I enraged at the taxi driver. He drove the vehicle in a high speed. I insisted him to slow down the car. But he didn't.,furious,"['Aggression', 'Coercion', 'Panic']"
1601,I got a pay raise today.,joyful,['Calm']
1602,There was a cat that was being neglected by its owner. I decided to adopt it at the shelter I'm volenteering at.,caring,['Calm']
1603,"A lady got a promotion for a job, because she's related to the hiring manager.",jealous,"['Coercion', 'Distress']"
1604,I know Alabama will win the SEC again.,confident,['Calm']
